question,answer,cleaned_question,cleaned_answer
they sure do.,they like guys with new cars.,sure,like guy new car
they like guys with new cars.,i don't have money or a new car.,like guy new car,money new car
i don't have money or a new car.,"me, neither.",money new car,
"me, neither.",but girls like guys who are funny.,,girl like guy funny
but girls like guys who are funny.,maybe we should learn some good jokes.,girl like guy funny,maybe learn good joke
where are you going?,i have to walk the dog.,go,walk dog
i have to walk the dog.,what kind of dog do you have?,walk dog,kind dog
what kind of dog do you have?,i have a little poodle.,kind dog,little poodle
i have a little poodle.,poodles bark a lot.,little poodle,poodles bark lot
poodles bark a lot.,they sure do.,poodles bark lot,sure
they sure do.,they bark at everything.,sure,bark
they bark at everything.,they never shut up.,bark,shut
they never shut up.,why did you get a poodle?,shut,poodle
why did you get a poodle?,it's my mom's dog.,poodle,mom dog
it's my mom's dog.,so she likes poodles.,mom dog,like poodle
so she likes poodles.,she says they're good watchdogs.,like poodle,say good watchdog
can i borrow $5?,sure. why do you need it?,borrow,sure need
sure. why do you need it?,i want to buy lunch.,sure need,want buy lunch
i want to buy lunch.,where's your money?,want buy lunch,money
where's your money?,it's not in my wallet.,money,wallet
it's not in my wallet.,your wallet is empty?,wallet,wallet
your wallet is empty?,i don't have even one dollar in it.,wallet,dollar
i don't have even one dollar in it.,being broke is no fun.,dollar,break fun
being broke is no fun.,even if it's only for a short while.,break fun,short
even if it's only for a short while.,it's always good to have friends.,short,good friend
it's always good to have friends.,friends will lend you money when you're broke.,good friend,friend lend money broke
friends will lend you money when you're broke.,as long as you pay them back.,friend lend money broke,long pay
let's go to the beach.,that's a great idea.,let beach,great idea
that's a great idea.,we haven't been in a while.,great idea,
we haven't been in a while.,we haven't been in a month.,,month
we haven't been in a month.,"the last time we went, you almost drowned.",month,time go drown
"the last time we went, you almost drowned.","no, i didn't.",time go drown,
"no, i didn't.",then why did the lifeguard dive into the water?,,lifeguard dive water
then why did the lifeguard dive into the water?,i think he wanted to cool off.,lifeguard dive water,think want cool
i think he wanted to cool off.,he swam right up to you.,think want cool,swam right
he swam right up to you.,and then he turned right around.,swam right,turn right
and then he turned right around.,maybe you're right.,turn right,maybe right
maybe you're right.,maybe we should get going.,maybe right,maybe go
are you married?,no. i'm divorced.,marry,divorced
no. i'm divorced.,when did you get divorced?,divorced,divorce
when did you get divorced?,i got divorced two years ago.,divorce,get divorce year ago
i got divorced two years ago.,why did you get divorced?,get divorce year ago,divorce
why did you get divorced?,my wife left me.,divorce,wife leave
my wife left me.,why did she leave you?,wife leave,leave
why did she leave you?,she said she didn't love me anymore.,leave,say love anymore
she said she didn't love me anymore.,wow! that's terrible.,say love anymore,wow terrible
wow! that's terrible.,"yes, it was.",wow terrible,yes
"yes, it was.",why didn't she love you anymore?,yes,love anymore
why didn't she love you anymore?,she fell in love with my best friend.,love anymore,fall love good friend
i'm bored.,what's on tv?,bored,tv
what's on tv?,nothing.,tv,
nothing.,there must be something on tv!,,tv
there must be something on tv!,nothing that's interesting.,tv,interesting
nothing that's interesting.,what about that new game show?,interesting,new game
what about that new game show?,which one?,new game,
which one?,deal or no deal,,deal deal
deal or no deal,tell me you're joking.,deal deal,tell joke
tell me you're joking.,i love that show.,tell joke,love
i love that show.,i watched it once. that was enough.,love,watch
i watched it once. that was enough.,it's on right now. let's watch it together.,watch,right let watch
i like living here.,i agree. pasadena is a nice city.,like live,agree pasadena nice city
i agree. pasadena is a nice city.,it's not too big.,agree pasadena nice city,big
it's not too big.,and it's not too small.,big,small
and it's not too small.,it has great weather all year long.,small,great weather year long
it has great weather all year long.,it has the rose parade.,great weather year long,rose parade
it has the rose parade.,it has beautiful houses.,rose parade,beautiful house
it has beautiful houses.,it has wonderful restaurants.,beautiful house,wonderful restaurant
it has wonderful restaurants.,it has great schools.,wonderful restaurant,great school
it has great schools.,it's close to the mountains.,great school,close mountain
it's close to the mountains.,the people are friendly.,close mountain,people friendly
the people are friendly.,i'm not ever going to leave.,people friendly,go leave
we need a new mattress.,what's the matter with this one?,need new mattress,matter
what's the matter with this one?,it's not comfortable.,matter,comfortable
it's not comfortable.,it seems fine to me.,comfortable,fine
it seems fine to me.,i toss and turn all night.,fine,toss turn night
i toss and turn all night.,you should stop drinking coffee.,toss turn night,stop drink coffee
you should stop drinking coffee.,look at these marks on my arms.,stop drink coffee,look mark arm
look at these marks on my arms.,what are they?,look mark arm,
what are they?,they are bites.,,bite
they are bites.,did the cat bite you?,bite,cat bite
did the cat bite you?,no. the bedbugs in that mattress bit me.,cat bite,bedbug mattress bite
no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.,bedbug mattress bite,okay let new mattress
my laptop is so slow.,buy a new one.,laptop slow,buy new
buy a new one.,i would if i had the money.,buy new,money
i would if i had the money.,why is it so slow?,money,slow
why is it so slow?,that's a good question.,slow,good question
that's a good question.,did you take it to a computer shop?,good question,computer shop
did you take it to a computer shop?,i would if i had the money.,computer shop,money
i would if i had the money.,"well, i guess you have to live with it.",money,guess live
"well, i guess you have to live with it.",sometimes i want to throw it out the window.,guess live,want throw window
sometimes i want to throw it out the window.,you don't want to do that.,want throw window,want
you don't want to do that.,why not?,want,
why not?,you might hit someone in the head.,,hit head
what's for dinner?,i'm not sure.,dinner,sure
i'm not sure.,how about a pizza?,sure,pizza
how about a pizza?,you had pizza for lunch.,pizza,pizza lunch
you had pizza for lunch.,but i love pizza.,pizza lunch,love pizza
but i love pizza.,everybody loves pizza.,love pizza,everybody love pizza
everybody loves pizza.,so why can't i have pizza for dinner?,everybody love pizza,pizza dinner
so why can't i have pizza for dinner?,because you need variety.,pizza dinner,need variety
because you need variety.,"what's ""variety?",need variety,variety
"what's ""variety?",different thingsnot the same thing all the time.,variety,different thing time
different thingsnot the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?",different thing time,mean like pepperoni pizza instead cheese pizza
"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza.",mean like pepperoni pizza instead cheese pizza,mean salad instead pizza
we need to save money.,why do we need to save money?,need save money,need save money
why do we need to save money?,because we need to buy a house.,need save money,need buy house
because we need to buy a house.,but a house is so expensive.,need buy house,house expensive
but a house is so expensive.,that's why we need to save money.,house expensive,need save money
that's why we need to save money.,how much do we need to save?,need save money,need save
how much do we need to save?,we need to save enough for a down payment.,need save,need save payment
we need to save enough for a down payment.,how much is that?,need save payment,
how much is that?,"that's about $30,000.",,
"that's about $30,000.",thirty thousand dollars! that will take forever.,,thirty thousand dollar forever
thirty thousand dollars! that will take forever.,not if we save every penny.,thirty thousand dollar forever,save penny
not if we save every penny.,okay. here's seven pennies.,save penny,okay seven penny
the ocean is so big.,you can't see the end of it.,ocean big,end
you can't see the end of it.,it goes on and on forever.,end,go forever
it goes on and on forever.,"and it's deep, too.",go forever,deep
"and it's deep, too.",i think it's five miles deep.,deep,think mile deep
i think it's five miles deep.,are there fish at the bottom?,think mile deep,fish
are there fish at the bottom?,there are fish at the top and the bottom.,fish,fish
there are fish at the top and the bottom.,are there more fish or more people?,fish,fish people
are there more fish or more people?,i think there are more fish.,fish people,think fish
i think there are more fish.,i hope so. i love to eat fish.,think fish,hope love eat fish
i'm upset with my mom.,why is that?,upset mom,
why is that?,i warned her about her new boyfriend. she didn't listen to me.,,warn new boyfriend listen
i warned her about her new boyfriend. she didn't listen to me.,what happened?,warn new boyfriend listen,happen
what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself.",happen,give birthday tell spend
"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.,give birthday tell spend,nice
that was very nice of you.,i found out that she gave it to her new boyfriend.,nice,find give new boyfriend
i found out that she gave it to her new boyfriend.,why did she do that?,find give new boyfriend,
why did she do that?,he said he would buy her a nice ring.,,say buy nice ring
he said he would buy her a nice ring.,what's wrong with that?,say buy nice ring,wrong
what's wrong with that?,he went to las vegas. he lost it all gambling.,wrong,go las vegas lose gambling
he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.,go las vegas lose gambling,hope mom break
do animals talk to each other?,of course they talk to each other.,animal talk,course talk
of course they talk to each other.,what do they talk about?,course talk,talk
what do they talk about?,they talk about other animals.,talk,talk animal
they talk about other animals.,what else do they talk about?,talk animal,talk
what else do they talk about?,they talk about food and the weather.,talk,talk food weather
they talk about food and the weather.,do they talk about us?,talk food weather,talk
do they talk about us?,of course they talk about us.,talk,course talk
of course they talk about us.,what do they say about us?,course talk,
what do they say about us?,they say that we are funny-looking.,,funny look
they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.,funny look,ha funny looking animal funny look
ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.,ha funny looking animal funny look,funny look wear clothe
i have to clean the house.,"yes, it's very dirty.",clean house,yes dirty
"yes, it's very dirty.",you can help me.,yes dirty,help
you can help me.,why me?,help,
why me?,because you helped make it dirty.,,help dirty
because you helped make it dirty.,what do you want me to do?,help dirty,want
what do you want me to do?,i want you to clean the bathroom.,want,want clean bathroom
i want you to clean the bathroom.,"oh, that's easy.",want clean bathroom,oh easy
"oh, that's easy.","clean the sink, the tub, the counter, and the toilet.",oh easy,clean sink tub counter toilet
"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.,clean sink tub counter toilet,lot work
that's a lot of work.,tell me when you finish.,lot work,tell finish
tell me when you finish.,i don't think so. you'll just give me more work.,tell finish,think work
you're watching too much tv.,what do you mean?,watch tv,mean
what do you mean?,i mean you're wasting your life.,mean,mean waste life
i mean you're wasting your life.,i'm having fun.,mean waste life,have fun
i'm having fun.,you're sitting there with your mouth open.,have fun,sit mouth open
you're sitting there with your mouth open.,who cares?,sit mouth open,care
who cares?,i care. do something.,care,care
i care. do something.,okay. i did something.,care,okay
okay. i did something.,what did you do?,okay,
what did you do?,i turned up the volume.,,turn volume
i turned up the volume.,"that's not what i meant by ""do something.""",turn volume,mean
"that's not what i meant by ""do something.""",will you do something? leave me alone.,mean,leave
did you write a letter to grandma?,"yes, i did.",write letter grandma,yes
"yes, i did.",did you tell her about school?,yes,tell school
did you tell her about school?,i told her that school is fun.,tell school,tell school fun
i told her that school is fun.,did you put the letter in an envelope?,tell school fun,letter envelope
did you put the letter in an envelope?,"yes, and i sealed the envelope.",letter envelope,yes seal envelope
"yes, and i sealed the envelope.",did you put a stamp on the envelope?,yes seal envelope,stamp envelope
did you put a stamp on the envelope?,i couldn't find any stamps.,stamp envelope,find stamp
i couldn't find any stamps.,they're in the kitchen drawer.,find stamp,kitchen drawer
they're in the kitchen drawer.,okay. i just put a stamp on the envelope.,kitchen drawer,okay stamp envelope
okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you.",okay stamp envelope,envelope mail
"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?,envelope mail,grandma go learn e mail
why are you yawning?,i'm sleepy.,yawn,sleepy
i'm sleepy.,why don't you go to bed?,sleepy,bed
why don't you go to bed?,i want to watch this tv show.,bed,want watch tv
i want to watch this tv show.,maybe you should record it.,want watch tv,maybe record
maybe you should record it.,the tape recorder is broken.,maybe record,tape recorder break
the tape recorder is broken.,then you should watch the rerun.,tape recorder break,watch rerun
then you should watch the rerun.,why? i'm watching the original.,watch rerun,watch original
why? i'm watching the original.,but you'll be asleep in about one minute.,watch original,asleep minute
but you'll be asleep in about one minute.,i'm just yawning because the commercials are on.,asleep minute,yawn commercial
i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.,yawn commercial,okay tell end
okay. i'll tell you how the show ends.,zzz.,okay tell end,zzz
it's sunday.,so?,sunday,
so?,you know what that means.,,know mean
you know what that means.,i forgot.,know mean,forget
i forgot.,sunday means we go to church.,forget,sunday mean church
sunday means we go to church.,"oh, yeah.",sunday mean church,oh yeah
"oh, yeah.",put on a coat and tie.,oh yeah,coat tie
put on a coat and tie.,why?,coat tie,
why?,to show respect to god and others.,,respect god
to show respect to god and others.,i'm glad sunday is only once a week.,respect god,glad sunday week
i'm glad sunday is only once a week.,i hope god didn't hear that.,glad sunday week,hope god hear
i hope god didn't hear that.,he'll forgive me.,hope god hear,forgive
did you feed the cat?,i'll do that in a minute.,feed cat,minute
i'll do that in a minute.,the cat is meowing. he's hungry.,minute,cat meow hungry
the cat is meowing. he's hungry.,okay. i'll feed him right now.,cat meow hungry,okay feed right
okay. i'll feed him right now.,you shouldn't make him wait.,okay feed right,wait
you shouldn't make him wait.,i was doing my homework.,wait,homework
i was doing my homework.,the cat doesn't care about your homework.,homework,cat care homework
the cat doesn't care about your homework.,the cat doesn't care about anything.,cat care homework,cat care
the cat doesn't care about anything.,that's the way cats are.,cat care,way cat
that's the way cats are.,all they think about is themselves.,way cat,think
all they think about is themselves.,maybe we should get rid of him.,think,maybe rid
maybe we should get rid of him.,of course not! he's family.,maybe rid,course family
i hate shaving.,me too.,hate shave,
me too.,i just cut myself again.,,cut
i just cut myself again.,did you use a new blade?,cut,use new blade
did you use a new blade?,"it doesn't matter. old blades cut, new blades cut.",use new blade,matter old blade cut new blade cut
"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.,matter old blade cut new blade cut,maybe use electric shaver
maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave.",maybe use electric shaver,lot noise close shave
"they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.,lot noise close shave,maybe stop shave
maybe you should stop shaving.,and grow a beard?,maybe stop shave,grow beard
and grow a beard?,sure. why not?,grow beard,sure
sure. why not?,because food and other stuff sticks in my beard.,sure,food stuff stick beard
because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.,food stuff stick beard,hmm idea cream face cat lick
excuse me.,yes?,excuse,yes
yes?,are you reading this paper?,yes,read paper
are you reading this paper?,"oh, no. help yourself.",read paper,oh help
"oh, no. help yourself.",i asked because the paper is sitting next to you.,oh help,ask paper sit
i asked because the paper is sitting next to you.,thank you. that's polite of you to ask.,ask paper sit,thank polite ask
thank you. that's polite of you to ask.,some people would just pick it up.,thank polite ask,people pick
some people would just pick it up.,"yes, i know. some people are rude.",people pick,yes know people rude
"yes, i know. some people are rude.",i always try to be polite.,yes know people rude,try polite
i always try to be polite.,so do i.,try polite,
so do i.,the world needs more polite people like us.,,world need polite people like
the world needs more polite people like us.,i agree 100 percent.,world need polite people like,agree percent
"mom, i want a puppy.",let me think about it.,mom want puppy,let think
let me think about it.,why do you have to think about it?,let think,think
why do you have to think about it?,because a puppy costs money.,think,puppy cost money
because a puppy costs money.,"no, it doesn't. puppies are free.",puppy cost money,puppy free
"no, it doesn't. puppies are free.","yes, but a puppy needs shots.",puppy free,yes puppy need shot
"yes, but a puppy needs shots.",shots for what?,yes puppy need shot,shot
shots for what?,so it won't get sick. just like you get shots.,shot,will sick like shot
so it won't get sick. just like you get shots.,i hate shots.,will sick like shot,hate shot
i hate shots.,and a puppy eats food. food costs money.,hate shot,puppy eat food food cost money
and a puppy eats food. food costs money.,no problem. i'll give him food off my plate.,puppy eat food food cost money,problem food plate
no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables.",problem food plate,oh puppy eat vegetable
look at all these kittens!,how many are there?,look kitten,
how many are there?,eight.,,
eight.,they're all so cute.,,cute
they're all so cute.,"yes, but i can't keep them.",cute,yes
"yes, but i can't keep them.",what are you going to do with them?,yes,go
what are you going to do with them?,i'm going to give them away. do you want one?,go,go away want
i'm going to give them away. do you want one?,"yes, i would love one.",go away want,yes love
"yes, i would love one.",which one do you want?,yes love,want
which one do you want?,that one. the one that's all black.,want,black
that one. the one that's all black.,"yes, i like that one, too.",black,yes like
"yes, i like that one, too.",i'll call him blacky.,yes like,blacky
my parents go to church every sunday.,they trust in god.,parent church sunday,trust god
they trust in god.,they hope they will go to heaven.,trust god,hope heaven
they hope they will go to heaven.,they probably will.,hope heaven,probably
they probably will.,but no one knows for sure.,probably,know sure
but no one knows for sure.,that's for sure.,know sure,sure
that's for sure.,no one knows what happens after we die.,sure,know happen die
no one knows what happens after we die.,"if we are good, we will be happy in heaven with god.",know happen die,good happy heaven god
"if we are good, we will be happy in heaven with god.",that's what many people believe.,good happy heaven god,people believe
that's what many people believe.,"if we are bad, we will be unhappy forever in hell.",people believe,bad unhappy forever hell
"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.,bad unhappy forever hell,want hell
i don't want to go to hell.,let's go to church with your parents on sunday.,want hell,let church parent sunday
my husband died.,i'm sorry for you.,husband die,sorry
i'm sorry for you.,thank you.,sorry,thank
thank you.,when did he die?,thank,die
when did he die?,a couple of months ago.,die,couple month ago
a couple of months ago.,you still miss him.,couple month ago,miss
you still miss him.,"yes, but i talk to him almost every day.",miss,yes talk day
"yes, but i talk to him almost every day.",when you go to church?,yes talk day,church
when you go to church?,"no, when i call him on his cell phone.",church,cell phone
"no, when i call him on his cell phone.",what do you mean?,cell phone,mean
what do you mean?,i buried him with his cell phone.,mean,bury cell phone
i buried him with his cell phone.,what will you do when the battery dies?,bury cell phone,battery die
today is friday the thirteenth.,that's a bad day.,today friday thirteenth,bad day
that's a bad day.,it's supposed to be unlucky.,bad day,suppose unlucky
it's supposed to be unlucky.,you're supposed to stay home all day.,suppose unlucky,suppose stay home day
you're supposed to stay home all day.,that's what i do.,suppose stay home day,
that's what i do.,my friend stayed in a hotel on friday the thirteenth.,,friend stay hotel friday thirteenth
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.,friend stay hotel friday thirteenth,mistake
that was a mistake.,he stayed on the thirteenth floor.,mistake,stay thirteenth floor
he stayed on the thirteenth floor.,what happened?,stay thirteenth floor,happen
what happened?,someone stole his laptop.,happen,steal laptop
someone stole his laptop.,he was asking for it.,steal laptop,ask
he was asking for it.,he learned his lesson. he's home today.,ask,learn lesson home today
do you really love me?,of course.,love,course
of course.,prove it.,course,prove
prove it.,how can i prove it?,prove,prove
how can i prove it?,take me to dinner.,prove,dinner
take me to dinner.,that's it? that's all i have to do?,dinner,
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's.",,nice restaurant mcdonald
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.,nice restaurant mcdonald,nice restaurant cost money
but a nice restaurant costs money.,"yes, and you have to make a reservation.",nice restaurant cost money,yes reservation
"yes, and you have to make a reservation.",that's such a hassle.,yes reservation,hassle
that's such a hassle.,i knew you didn't love me.,hassle,know love
i knew you didn't love me.,"okay, okay! i'll make a reservation right now.",know love,okay okay reservation right
my parents are divorced.,so are mine.,parent divorce,
so are mine.,why did your parents get divorced?,,parent divorce
why did your parents get divorced?,my father found a new girlfriend.,parent divorce,father find new girlfriend
my father found a new girlfriend.,that's too bad.,father find new girlfriend,bad
that's too bad.,my mother was hurt and angry.,bad,mother hurt angry
my mother was hurt and angry.,she had good reason. what did she do?,mother hurt angry,good reason
she had good reason. what did she do?,she told him to drop his girlfriend.,good reason,tell drop girlfriend
she told him to drop his girlfriend.,what did your father do?,tell drop girlfriend,father
what did your father do?,he moved out of our house.,father,move house
he moved out of our house.,i guess he really liked his new girlfriend.,move house,guess like new girlfriend
i guess he really liked his new girlfriend.,"yes, but she left him a year later.",guess like new girlfriend,yes leave year later
my grandma's apartment smells funny.,so does mine.,grandma apartment smell funny,
so does mine.,i think it's an old people's smell.,,think old people smell
i think it's an old people's smell.,really?,think old people smell,
really?,"yes. i think when you get old, you begin to smell.",,yes think old begin smell
"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?,yes think old begin smell,like fruit ripe
like fruit that is too ripe?,"yes, just like fruit that is too ripe.",like fruit ripe,yes like fruit ripe
"yes, just like fruit that is too ripe.",but the smell is different.,yes like fruit ripe,smell different
but the smell is different.,"yes, old people don't smell like fruit.",smell different,yes old people smell like fruit
"yes, old people don't smell like fruit.","no, they smell like a thrift shop.",yes old people smell like fruit,smell like thrift shop
"no, they smell like a thrift shop.","yes, a thrift shop has that same smell.",smell like thrift shop,yes thrift shop smell
"yes, a thrift shop has that same smell.","yes, an old smell.",yes thrift shop smell,yes old smell
the price of stamps goes up and up.,i think stamps used to cost a penny.,price stamp go,think stamp cost penny
i think stamps used to cost a penny.,that was a long time ago.,think stamp cost penny,long time ago
that was a long time ago.,it was before i was born.,long time ago,bear
it was before i was born.,now a stamp is 42 cents.,bear,stamp cent
now a stamp is 42 cents.,but in may it will be 44 cents.,stamp cent,cent
but in may it will be 44 cents.,have you ever lost a letter in the mail?,cent,lose letter mail
have you ever lost a letter in the mail?,"no, i haven't.",lose letter mail,
"no, i haven't.",neither have i.,,
neither have i.,"so, they do a good job for the money.",,good job money
"so, they do a good job for the money.","yes, they do.",good job money,yes
"yes, they do.",maybe we shouldn't complain.,yes,maybe complain
a button came off my shirt.,what are you going to do?,button come shirt,go
what are you going to do?,"first, i have to find the button.",go,find button
"first, i have to find the button.",where did you lose it?,find button,lose
where did you lose it?,i have no idea.,lose,idea
i have no idea.,a button is hard to find. did you look in your pant cuffs?,idea,button hard find look pant cuff
a button is hard to find. did you look in your pant cuffs?,that's a good idea.,button hard find look pant cuff,good idea
that's a good idea.,i found a button in my pant cuffs one time.,good idea,find button pant cuff time
i found a button in my pant cuffs one time.,"let me look. no, it's not there.",find button pant cuff time,let look
"let me look. no, it's not there.",many shirts come with an extra button.,let look,shirt come extra button
many shirts come with an extra button.,you're right. this one does have an extra button.,shirt come extra button,right extra button
you're right. this one does have an extra button.,now all you have to do is sew it on.,right extra button,sew
i have to go to the bathroom.,you drink too much coffee.,bathroom,drink coffee
you drink too much coffee.,but i love coffee.,drink coffee,love coffee
but i love coffee.,"well, it's your life.",love coffee,life
"well, it's your life.",you eat too much chocolate.,life,eat chocolate
you eat too much chocolate.,i don't think so.,eat chocolate,think
i don't think so.,have you looked in the mirror?,think,look mirror
have you looked in the mirror?,do you think i'm getting fat?,look mirror,think get fat
do you think i'm getting fat?,i didn't say that.,think get fat,
i didn't say that.,what did you say?,,
what did you say?,i said i have to go to the bathroom.,,say bathroom
i said i have to go to the bathroom.,that's what i thought you said.,say bathroom,think say
did you do the laundry?,"yes, i did.",laundry,yes
"yes, i did.",what did you wash?,yes,wash
what did you wash?,i washed the sheets and towels.,wash,wash sheet towel
i washed the sheets and towels.,what about the pillowcases?,wash sheet towel,pillowcase
what about the pillowcases?,"yes, i took them off the pillows and washed them.",pillowcase,yes take pillow wash
"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?,yes take pillow wash,dry dryer
did you dry everything in the dryer?,"yes, i dried everything in the dryer.",dry dryer,yes dry dryer
"yes, i dried everything in the dryer.",then what did you do?,yes dry dryer,
then what did you do?,i folded all the towels.,,fold towel
i folded all the towels.,did you put the sheets on the beds?,fold towel,sheet bed
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows.",sheet bed,yes pillowcase pillow
do you listen to the radio?,i listen day and night.,listen radio,listen day night
i listen day and night.,what do you listen to?,listen day night,listen
what do you listen to?,mostly talk radio.,listen,talk radio
mostly talk radio.,what's that?,talk radio,
what's that?,people talk about current events.,,people talk current event
people talk about current events.,what do they say?,people talk current event,
what do they say?,they say they want change.,,want change
they say they want change.,what kind of change?,want change,kind change
what kind of change?,they want tax cuts.,kind change,want tax cut
they want tax cuts.,why do they want tax cuts?,want tax cut,want tax cut
why do they want tax cuts?,because tax cuts will save them money.,want tax cut,tax cut save money
"mom, i'm hungry.",look in the fridge.,mom hungry,look fridge
look in the fridge.,i'm looking. there's nothing to eat.,look fridge,look eat
i'm looking. there's nothing to eat.,are you sure?,look eat,sure
are you sure?,it's almost empty.,sure,
it's almost empty.,i went to the market yesterday.,,go market yesterday
i went to the market yesterday.,i don't see anything.,go market yesterday,
i don't see anything.,i bought lots of oranges and apples.,,buy lot orange apple
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.,buy lot orange apple,want fruit want tasty
i don't want fruit. i want something tasty.,eat the fruit. it's good for you.,want fruit want tasty,eat fruit good
eat the fruit. it's good for you.,"next time you go to the market, let me go with you.",eat fruit good,time market let
"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars.",time market let,thank want eat hot dog candy bar
what is there to eat?,i don't know. look in the fridge.,eat,know look fridge
i don't know. look in the fridge.,i think i'll make a sandwich.,know look fridge,think sandwich
i think i'll make a sandwich.,what kind?,think sandwich,kind
what kind?,a ham sandwich.,kind,ham sandwich
a ham sandwich.,the bread is in the cabinet.,ham sandwich,bread cabinet
the bread is in the cabinet.,where's the mustard?,bread cabinet,mustard
where's the mustard?,"it's in the fridge, i think.",mustard,fridge think
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?",fridge think,oh yes want sandwich
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice.",oh yes want sandwich,yes sound nice
"yes, that sounds nice.",how about some potato chips?,yes sound nice,potato chip
how about some potato chips?,"yes. and a pickle, if we have any.",potato chip,yes pickle
"it's time for your bath, young lady.","but, mom, i'm not dirty.",time bath young lady,mom dirty
"but, mom, i'm not dirty.",you need a bath every day.,mom dirty,need bath day
you need a bath every day.,why?,need bath day,
why?,because you don't want to smell bad.,,want smell bad
because you don't want to smell bad.,i don't smell bad.,want smell bad,smell bad
i don't smell bad.,that's what you think.,smell bad,think
that's what you think.,"if i smelled bad, i could smell me.",think,smell bad smell
"if i smelled bad, i could smell me.",i can smell you.,smell bad smell,smell
i can smell you.,"i can smell you, too.",smell,smell
"i can smell you, too.",that's my perfume.,smell,perfume
that's my perfume.,when can i wear perfume?,perfume,wear perfume
something's wrong with my computer.,exactly what?,wrong computer,exactly
exactly what?,all i get is a black screen.,exactly,black screen
all i get is a black screen.,what's the matter?,black screen,matter
what's the matter?,"i think i know, because this happened before.",matter,think know happen
"i think i know, because this happened before.",what happened before?,think know happen,happen
what happened before?,my hard drive crashed.,happen,hard drive crash
my hard drive crashed.,"oh, no. that's bad news.",hard drive crash,oh bad news
"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure.",oh bad news,sure go hp sure
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?,sure go hp sure,lose file
will you lose all your files?,"no, i always back up my files.",lose file,file
"no, i always back up my files.",you're smart.,file,smart
i called hp about my computer.,what did they say?,call hp computer,
what did they say?,they said i need a new hard drive.,,say need new hard drive
they said i need a new hard drive.,that's too bad. how much is a new one?,say need new hard drive,bad new
that's too bad. how much is a new one?,"it's not too much, only about $85.",bad new,
"it's not too much, only about $85.",plus installation?,,plus installation
plus installation?,"no, my hard drive is easy to remove and replace.",plus installation,hard drive easy remove replace
"no, my hard drive is easy to remove and replace.",really?,hard drive easy remove replace,
really?,"yes, it's just a couple of screws.",,yes couple screw
"yes, it's just a couple of screws.",that's nice.,yes couple screw,nice
that's nice.,it's a lot better than paying someone $60.,nice,lot well pay
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you.",lot well pay,hard drive crash
what's your email address?,it's bluedog123.,email address,
it's bluedog123.,bluedog123. are you sure that's all?,,sure
bluedog123. are you sure that's all?,yes.,sure,yes
yes.,no. that's incomplete.,yes,incomplete
no. that's incomplete.,what do you mean?,incomplete,mean
what do you mean?,what's your mailing address?,mean,mailing address
what's your mailing address?,"456 cherry drive, pasadena, ca 91170.",mailing address,cherry drive pasadena
"456 cherry drive, pasadena, ca 91170.",that's correct.,cherry drive pasadena,correct
that's correct.,so what's the problem?,correct,problem
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code.",problem,street city state zip code
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com.",street city state zip code,oh email address
i'm going to take a nap.,you should unplug the phone.,go nap,unplug phone
you should unplug the phone.,that's a good idea.,unplug phone,good idea
that's a good idea.,do you want me to wake you in an hour?,good idea,want wake hour
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up.",want wake hour,thank let sleep wake
